vqmod_boot:0.0491 startup:0.3989 framework(dispatch+render):4.1262 total:4.5742
vqmod_boot:0.0433 startup:0.3208 framework(dispatch+render):4.0394 total:4.4035
vqmod_boot:0.0323 startup:0.4042 framework(dispatch+render):5.2462 total:5.6827
vqmod_boot:0.0525 startup:0.3775 framework(dispatch+render):3.9614 total:4.3914
vqmod_boot:0.0429 startup:0.3499 framework(dispatch+render):4.0157 total:4.4086
vqmod_boot:0.0422 startup:0.4305 framework(dispatch+render):4.0891 total:4.5619
vqmod_boot:0.0321 startup:0.0853 framework(dispatch+render):2.8460 total:2.9634
vqmod_boot:0.0490 startup:0.3956 framework(dispatch+render):4.3780 total:4.8226
vqmod_boot:0.0512 startup:0.2987 framework(dispatch+render):4.2429 total:4.5928
vqmod_boot:0.0524 startup:0.3469 framework(dispatch+render):4.1665 total:4.5657
vqmod_boot:0.0551 startup:0.4727 framework(dispatch+render):4.2240 total:4.7518
vqmod_boot:0.0515 startup:0.4110 framework(dispatch+render):4.2677 total:4.7302
vqmod_boot:0.0557 startup:0.4001 framework(dispatch+render):4.0694 total:4.5252
vqmod_boot:0.0461 startup:0.1876 framework(dispatch+render):3.1375 total:3.3713
vqmod_boot:0.0459 startup:0.1653 framework(dispatch+render):2.9881 total:3.1993
vqmod_boot:0.0596 startup:0.4038 framework(dispatch+render):4.1308 total:4.5942
vqmod_boot:0.0504 startup:0.3951 framework(dispatch+render):4.2366 total:4.6821
vqmod_boot:0.0425 startup:0.3525 framework(dispatch+render):4.0593 total:4.4543
vqmod_boot:0.0451 startup:0.4017 framework(dispatch+render):4.2828 total:4.7296
vqmod_boot:0.0479 startup:0.3711 framework(dispatch+render):4.5190 total:4.9381
vqmod_boot:0.0473 startup:0.3563 framework(dispatch+render):4.2710 total:4.6745
vqmod_boot:0.0580 startup:0.3678 framework(dispatch+render):3.7409 total:4.1667
vqmod_boot:0.0448 startup:0.3432 framework(dispatch+render):3.7610 total:4.1491
vqmod_boot:0.0438 startup:0.3873 framework(dispatch+render):3.6404 total:4.0716
vqmod_boot:0.0394 startup:0.3824 framework(dispatch+render):3.7416 total:4.1634
vqmod_boot:0.0362 startup:0.3247 framework(dispatch+render):3.3918 total:3.7527
vqmod_boot:0.0399 startup:0.3755 framework(dispatch+render):3.3223 total:3.7377
vqmod_boot:0.0414 startup:0.3714 framework(dispatch+render):3.4141 total:3.8269
vqmod_boot:0.0421 startup:0.3235 framework(dispatch+render):3.2279 total:3.5935
vqmod_boot:0.0357 startup:0.2668 framework(dispatch+render):3.1846 total:3.4872
vqmod_boot:0.0467 startup:0.3350 framework(dispatch+render):3.3847 total:3.7664
vqmod_boot:0.0385 startup:0.3074 framework(dispatch+render):3.1418 total:3.4877
vqmod_boot:0.0458 startup:0.3763 framework(dispatch+render):3.0851 total:3.5072
vqmod_boot:0.0381 startup:0.3054 framework(dispatch+render):3.3096 total:3.6531
vqmod_boot:0.0326 startup:0.1334 framework(dispatch+render):2.2274 total:2.3934
vqmod_boot:0.0471 startup:0.3074 framework(dispatch+render):5.3965 total:5.7510
vqmod_boot:0.0390 startup:0.3379 framework(dispatch+render):2.5435 total:2.9204
vqmod_boot:0.0484 startup:0.3565 framework(dispatch+render):2.6432 total:3.0481
vqmod_boot:0.0445 startup:0.3822 framework(dispatch+render):2.5006 total:2.9274
vqmod_boot:0.0451 startup:0.4212 framework(dispatch+render):2.9737 total:3.4400
vqmod_boot:0.0449 startup:0.0619 framework(dispatch+render):2.0614 total:2.1682
vqmod_boot:0.0363 startup:0.1048 framework(dispatch+render):2.1089 total:2.2500
vqmod_boot:0.0426 startup:0.1033 framework(dispatch+render):2.2757 total:2.4216
vqmod_boot:0.0393 startup:0.3255 framework(dispatch+render):2.8561 total:3.2209
vqmod_boot:0.0471 startup:0.3250 framework(dispatch+render):2.3674 total:2.7395
vqmod_boot:0.0476 startup:0.3735 framework(dispatch+render):2.5493 total:2.9704
vqmod_boot:0.0457 startup:0.3745 framework(dispatch+render):2.4919 total:2.9120
vqmod_boot:0.0437 startup:0.3090 framework(dispatch+render):2.4063 total:2.7590
vqmod_boot:0.0430 startup:0.3245 framework(dispatch+render):2.4162 total:2.7837
vqmod_boot:0.0245 startup:0.0429 framework(dispatch+render):1.5325 total:1.5999
vqmod_boot:0.0362 startup:0.1792 framework(dispatch+render):1.9561 total:2.1715
vqmod_boot:0.0295 startup:0.0571 framework(dispatch+render):1.5531 total:1.6398
vqmod_boot:0.0537 startup:0.4464 framework(dispatch+render):2.8066 total:3.3067
vqmod_boot:0.0403 startup:0.0768 framework(dispatch+render):2.5836 total:2.7008
vqmod_boot:0.0423 startup:0.1048 framework(dispatch+render):2.1870 total:2.3340
vqmod_boot:0.0470 startup:0.0876 framework(dispatch+render):1.8843 total:2.0189
vqmod_boot:0.0533 startup:0.1125 framework(dispatch+render):1.9709 total:2.1367
vqmod_boot:0.0398 startup:0.0949 framework(dispatch+render):2.0548 total:2.1895
vqmod_boot:0.0511 startup:0.3992 framework(dispatch+render):2.6542 total:3.1045
vqmod_boot:0.0444 startup:0.0749 framework(dispatch+render):2.1217 total:2.2410
vqmod_boot:0.0394 startup:0.0914 framework(dispatch+render):1.9934 total:2.1242
vqmod_boot:0.0420 startup:0.0805 framework(dispatch+render):2.5616 total:2.6842
vqmod_boot:0.0411 startup:0.0914 framework(dispatch+render):1.7247 total:1.8573
vqmod_boot:0.0401 startup:0.0864 framework(dispatch+render):2.2196 total:2.3462
vqmod_boot:0.0329 startup:0.0455 framework(dispatch+render):1.1574 total:1.2358
vqmod_boot:0.0323 startup:0.0661 framework(dispatch+render):1.2581 total:1.3565
vqmod_boot:0.0253 startup:0.0578 framework(dispatch+render):1.1389 total:1.2220
vqmod_boot:0.0404 startup:0.0796 framework(dispatch+render):2.0637 total:2.1837
vqmod_boot:0.0390 startup:0.4187 framework(dispatch+render):2.7649 total:3.2226
vqmod_boot:0.0433 startup:0.0472 framework(dispatch+render):1.6441 total:1.7345
vqmod_boot:0.0414 startup:0.0936 framework(dispatch+render):1.6708 total:1.8058
vqmod_boot:0.0402 startup:0.0652 framework(dispatch+render):1.7468 total:1.8522
vqmod_boot:0.0431 startup:0.0687 framework(dispatch+render):1.6466 total:1.7585
vqmod_boot:0.0468 startup:0.0764 framework(dispatch+render):1.7182 total:1.8415
vqmod_boot:0.0359 startup:0.0630 framework(dispatch+render):1.2274 total:1.3263
vqmod_boot:0.0326 startup:0.0593 framework(dispatch+render):1.1545 total:1.2464
vqmod_boot:0.0462 startup:0.1118 framework(dispatch+render):2.6486 total:2.8065
vqmod_boot:0.0409 startup:0.0939 framework(dispatch+render):1.6695 total:1.8043
vqmod_boot:0.0396 startup:0.0890 framework(dispatch+render):1.6719 total:1.8005
vqmod_boot:0.0356 startup:0.1156 framework(dispatch+render):1.6286 total:1.7798
vqmod_boot:0.0425 startup:0.0982 framework(dispatch+render):1.7519 total:1.8926
vqmod_boot:0.0571 startup:0.4498 framework(dispatch+render):2.6790 total:3.1858
vqmod_boot:0.0449 startup:0.0877 framework(dispatch+render):0.4074 total:0.5400
vqmod_boot:0.0468 startup:0.0756 framework(dispatch+render):0.4357 total:0.5581
vqmod_boot:0.0418 startup:0.0760 framework(dispatch+render):0.3968 total:0.5145
vqmod_boot:0.0453 startup:0.1097 framework(dispatch+render):0.4277 total:0.5826
vqmod_boot:0.0428 startup:0.3793 framework(dispatch+render):0.4782 total:0.9003
vqmod_boot:0.0313 startup:0.0594 framework(dispatch+render):0.3253 total:0.4160
vqmod_boot:0.0345 startup:0.0586 framework(dispatch+render):0.2843 total:0.3774
vqmod_boot:0.0323 startup:0.0658 framework(dispatch+render):0.3342 total:0.4323
vqmod_boot:0.0255 startup:0.3433 framework(dispatch+render):2.4066 total:2.7754
vqmod_boot:0.0332 startup:0.0400 framework(dispatch+render):1.6154 total:1.6887
vqmod_boot:0.0341 startup:0.0488 framework(dispatch+render):1.2630 total:1.3459
vqmod_boot:0.0451 startup:0.0679 framework(dispatch+render):1.5358 total:1.6488
vqmod_boot:0.0322 startup:0.0584 framework(dispatch+render):1.0075 total:1.0981
vqmod_boot:0.0608 startup:0.3120 framework(dispatch+render):2.1341 total:2.5068
vqmod_boot:0.0340 startup:0.0793 framework(dispatch+render):1.3907 total:1.5041
vqmod_boot:0.0353 startup:0.0457 framework(dispatch+render):0.9884 total:1.0694
vqmod_boot:0.0352 startup:0.0794 framework(dispatch+render):0.9818 total:1.0964
vqmod_boot:0.0376 startup:0.0315 framework(dispatch+render):1.0482 total:1.1172
